PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75
-0.047,0.31,0.042,0.0,-0.001,0.001,-0.0,-0.001,-0.002,-0.001,0.017,-0.023,-0.086,-0.039,0.022,-0.024,-0.067,-0.053,0.045,-0.003,-0.019,-0.001,0.033,-0.004,-0.025,-0.002,0.025,-0.003,-0.069,-0.019,-0.054,-0.095,-0.203,-0.126,0.02,-0.035,-0.233,-0.158,0.001,0.134,-0.268,-0.199,0.017,-0.023,-0.111,-0.038,0.142,-0.048,0.001,-0.078,-0.036,0.004,-0.029,-0.001,-0.052,0.007,-0.037,-0.002,0.092,-0.016,-0.091,-0.017,-0.138,0.225,-0.257,-0.154,0.168,-0.178,-0.287,-0.206,-0.082,0.021,-0.333,-0.252,0.002
0.003,0.006,0.002,-0.0,0.0,0.0,-0.002,0.001,0.001,0.0,0.049,0.02,0.01,0.004,0.429,0.039,0.016,0.006,0.066,-0.004,0.004,-0.0,0.038,-0.007,0.004,-0.0,-0.103,0.005,0.006,0.002,-0.037,0.069,0.022,0.014,0.027,0.027,0.025,0.017,-0.085,-0.096,0.028,0.019,0.096,0.02,0.015,0.004,0.614,0.007,0.071,0.021,0.238,-0.005,0.008,0.0,0.173,-0.004,0.008,0.0,-0.213,-0.013,0.009,0.001,-0.366,-0.162,0.028,0.014,0.188,0.144,0.035,0.023,-0.126,0.076,0.037,0.029,-0.0
0.017,-0.076,-0.017,-0.0,0.0,-0.0,-0.001,0.001,0.003,0.0,-0.017,0.046,0.028,0.014,0.08,-0.064,0.026,0.016,-0.019,0.075,0.005,0.002,-0.008,0.107,0.007,0.003,-0.064,0.137,0.021,0.011,-0.033,-0.436,0.069,0.03,-0.038,-0.318,0.08,0.044,-0.007,0.516,0.096,0.075,0.034,0.045,0.04,0.014,0.121,0.015,-0.061,0.033,0.038,0.079,0.01,0.002,0.067,0.109,0.013,0.003,-0.044,0.168,0.031,0.011,-0.035,0.396,0.092,0.058,0.046,-0.222,0.107,0.066,-0.03,-0.086,0.124,0.089,-0.001
0.003,-0.008,-0.007,0.0,0.0,-0.0,0.001,0.001,-0.002,-0.0,-0.151,-0.013,0.003,0.002,-0.237,-0.055,-0.002,0.002,0.188,0.076,0.008,0.002,0.17,0.097,0.007,0.002,-0.236,-0.029,-0.0,0.001,-0.37,-0.047,0.007,0.005,0.668,0.149,0.019,0.01,-0.209,-0.024,0.014,0.012,0.054,-0.012,0.009,0.002,0.213,0.002,-0.052,0.01,-0.081,0.067,0.003,0.001,-0.055,0.072,0.004,0.002,0.134,-0.006,0.007,0.001,0.059,-0.001,0.02,0.009,-0.176,-0.042,0.021,0.013,0.031,0.03,0.026,0.018,-0.0
0.002,-0.002,0.006,0.0,-0.0,0.0,-0.002,-0.0,0.002,0.0,0.042,0.05,-0.003,0.002,0.025,0.127,-0.001,0.003,-0.075,-0.28,-0.004,-0.006,-0.083,-0.357,-0.004,-0.008,0.201,0.115,0.0,0.003,-0.253,0.219,-0.008,0.006,0.287,-0.497,-0.005,-0.008,-0.116,0.164,-0.009,-0.0,-0.016,0.05,-0.007,0.002,-0.041,0.005,0.232,-0.004,0.066,-0.244,-0.002,-0.005,0.005,-0.279,-0.004,-0.006,-0.085,0.022,-0.007,0.001,0.072,-0.014,-0.011,-0.001,-0.058,0.065,-0.014,-0.004,0.023,-0.052,-0.016,-0.008,0.001
0.002,-0.014,-0.009,0.0,0.0,-0.0,0.0,0.0,-0.002,0.0,-0.155,0.031,-0.003,0.003,-0.279,0.029,-0.005,0.003,0.277,-0.014,0.007,-0.0,0.205,-0.028,0.005,-0.0,-0.482,-0.017,-0.01,0.001,0.32,0.32,0.005,0.012,-0.187,-0.385,0.004,-0.0,0.104,0.102,0.01,0.006,0.055,0.031,0.003,0.003,0.142,0.005,0.097,0.005,-0.082,-0.018,0.0,-0.0,-0.132,-0.033,-0.001,-0.0,0.23,-0.045,0.003,0.0,-0.105,-0.04,0.009,0.009,0.036,0.053,0.011,0.01,-0.038,-0.031,0.015,0.012,0.0
0.0,0.006,0.016,-0.0,0.0,-0.0,0.001,0.0,-0.002,0.0,0.05,-0.0,-0.005,-0.003,0.152,-0.05,0.001,-0.002,-0.097,0.32,-0.008,0.006,-0.078,0.382,-0.008,0.008,0.168,-0.24,-0.001,-0.01,-0.122,0.443,-0.011,0.008,0.079,-0.387,-0.012,-0.006,-0.051,0.104,-0.016,-0.001,-0.02,-0.001,-0.012,-0.003,-0.082,-0.005,-0.162,-0.008,0.008,0.264,-0.008,0.005,0.048,0.262,-0.008,0.005,-0.062,-0.228,-0.009,-0.01,0.04,-0.023,-0.022,-0.002,-0.016,0.056,-0.028,-0.004,0.025,-0.018,-0.032,-0.013,-0.002
-0.002,0.006,0.01,-0.0,-0.001,0.0,0.0,-0.001,0.0,-0.001,0.086,-0.06,-0.003,0.003,-0.447,-0.065,-0.017,0.001,-0.26,-0.036,-0.009,-0.0,-0.033,-0.029,-0.005,-0.0,0.074,-0.011,0.0,0.002,0.053,0.085,-0.008,0.014,0.005,-0.032,-0.01,0.014,0.081,-0.025,-0.013,0.015,0.549,-0.06,-0.001,0.003,0.145,-0.002,-0.23,-0.006,-0.291,-0.038,-0.011,-0.0,0.255,-0.033,-0.004,-0.0,-0.361,0.097,-0.009,0.005,-0.12,0.025,-0.014,0.013,-0.007,0.009,-0.02,0.014,-0.033,0.013,-0.022,0.013,0.004
0.001,-0.003,-0.003,0.0,-0.0,0.0,-0.001,-0.001,0.001,0.0,-0.259,0.038,-0.01,0.005,-0.482,-0.033,-0.011,0.004,-0.052,0.058,-0.007,0.001,-0.305,0.059,-0.01,0.001,0.369,0.015,-0.002,0.001,0.14,-0.052,-0.002,0.014,0.013,-0.008,0.002,0.017,0.079,-0.041,0.007,0.022,-0.127,0.037,-0.01,0.005,0.329,0.008,0.124,0.007,0.461,0.065,-0.0,0.001,-0.226,0.057,-0.009,0.001,-0.004,-0.102,-0.013,-0.001,-0.028,0.013,-0.002,0.017,-0.018,0.001,-0.0,0.02,-0.046,0.007,0.007,0.02,-0.001
-0.002,0.007,0.003,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.274,-0.063,-0.006,0.003,-0.062,-0.042,-0.002,0.001,-0.146,-0.042,-0.004,-0.0,0.148,-0.047,-0.0,-0.0,0.175,-0.012,0.001,0.006,0.101,0.068,-0.002,0.01,-0.005,-0.031,0.001,0.01,0.004,-0.012,0.001,0.01,-0.543,-0.061,-0.014,0.003,0.235,0.001,-0.085,0.002,-0.264,-0.026,-0.006,-0.0,0.582,0.001,0.004,0.001,0.182,0.118,-0.004,0.008,0.054,0.009,-0.015,0.009,-0.008,0.013,-0.008,0.01,-0.014,0.011,-0.003,0.006,0.0
0.002,-0.008,0.005,-0.0,0.002,0.0,-0.001,-0.0,-0.0,0.004,0.015,0.284,-0.002,0.004,-0.083,0.194,-0.002,0.004,-0.086,0.119,-0.004,0.002,0.045,0.091,-0.003,0.001,-0.007,0.095,-0.001,-0.003,0.008,-0.225,-0.008,-0.009,-0.0,0.027,-0.006,-0.012,0.004,-0.015,-0.0,-0.013,0.072,0.278,-0.0,0.004,-0.022,0.01,0.51,0.001,-0.255,0.071,-0.007,0.001,0.25,0.028,-0.001,-0.0,-0.042,-0.546,-0.001,-0.018,-0.003,-0.047,-0.005,-0.005,0.006,-0.014,-0.002,-0.01,-0.018,-0.03,0.008,-0.007,-0.01
-0.006,0.024,0.256,0.0,0.002,0.0,-0.0,-0.0,0.0,0.003,0.031,0.029,-0.062,0.091,0.028,0.056,-0.011,0.074,0.021,0.024,-0.08,0.004,0.016,0.023,-0.078,0.006,-0.035,-0.022,-0.064,0.057,-0.008,-0.046,-0.03,0.282,-0.004,0.01,-0.023,0.319,-0.006,-0.004,0.004,0.336,-0.013,0.028,-0.192,0.09,-0.008,0.078,-0.02,-0.081,0.007,-0.022,-0.142,0.003,-0.019,-0.056,-0.148,0.006,0.023,0.007,-0.178,0.053,0.01,-0.008,-0.256,0.291,0.005,-0.012,-0.278,0.297,0.005,-0.001,-0.274,0.239,-0.006
0.001,-0.002,-0.023,-0.0,-0.001,-0.0,0.001,0.0,-0.001,-0.003,-0.038,-0.024,0.012,0.004,-0.007,0.183,-0.004,-0.003,0.07,0.452,0.017,0.011,-0.07,0.413,0.015,0.01,0.024,0.012,0.014,0.013,0.008,-0.024,0.001,-0.009,0.001,-0.005,-0.004,-0.021,-0.004,-0.01,-0.008,-0.028,-0.011,-0.02,0.022,0.004,0.008,-0.005,-0.016,0.0,-0.016,-0.256,0.021,-0.003,0.026,-0.694,0.023,-0.011,-0.0,0.14,0.024,0.016,-0.001,0.006,0.011,-0.024,0.002,0.001,0.012,-0.034,-0.003,-0.004,0.007,-0.029,0.009
-0.001,0.004,-0.056,0.0,0.001,-0.0,-0.0,-0.0,-0.001,0.003,0.009,-0.033,-0.009,0.0,0.05,-0.439,-0.006,-0.009,-0.035,0.007,-0.003,0.002,0.063,-0.0,-0.002,0.003,-0.023,0.619,-0.008,0.015,-0.001,0.089,-0.016,-0.007,-0.007,0.026,-0.011,0.008,0.014,0.034,-0.004,0.019,-0.048,-0.042,-0.004,-0.0,0.014,-0.005,-0.325,-0.006,0.048,-0.099,-0.001,-0.0,-0.033,-0.174,-0.002,-0.001,0.02,-0.492,-0.003,-0.01,0.005,0.008,-0.004,0.019,-0.004,0.008,-0.004,0.038,0.01,0.021,0.004,0.042,-0.004
0.0,-0.0,-0.005,-0.0,-0.002,0.0,0.0,-0.0,-0.0,-0.001,0.702,0.121,0.031,0.001,-0.26,0.158,-0.011,0.002,-0.17,-0.031,0.009,-0.001,-0.188,0.005,0.012,-0.001,-0.295,-0.055,0.022,-0.005,-0.064,-0.024,0.021,-0.002,0.005,-0.017,0.01,-0.006,0.008,-0.02,-0.009,-0.011,-0.332,0.114,0.019,0.0,0.151,-0.01,-0.217,-0.003,0.12,-0.055,0.021,-0.001,0.065,0.002,0.024,-0.001,0.117,-0.051,0.024,-0.005,0.023,0.008,0.008,-0.012,-0.001,0.005,0.005,-0.022,-0.003,0.005,-0.009,-0.029,0.013
0.005,-0.009,-0.768,0.0,-0.001,-0.0,0.0,0.0,-0.001,-0.002,-0.122,0.175,0.06,0.05,0.047,0.113,-0.057,0.023,0.024,-0.095,0.074,0.002,0.037,0.009,0.078,0.006,0.042,-0.125,0.097,0.031,0.013,-0.041,-0.045,0.115,-0.0,-0.005,-0.09,0.098,-0.002,0.002,-0.126,0.061,0.027,0.168,0.102,0.049,-0.003,0.011,-0.199,-0.079,0.003,-0.098,0.128,0.002,-0.026,0.028,0.133,0.007,-0.014,-0.045,0.149,0.028,0.0,-0.005,-0.066,0.122,0.002,-0.005,-0.119,0.087,0.004,0.003,-0.182,0.052,0.005
-0.004,0.005,0.507,-0.0,-0.002,-0.0,0.001,0.0,-0.001,-0.004,-0.23,0.207,0.163,0.021,0.044,0.279,0.009,0.019,0.042,-0.119,0.134,-0.0,0.068,-0.016,0.142,0.002,0.066,-0.012,0.189,0.005,0.026,-0.043,0.126,0.056,-0.005,-0.006,0.09,0.034,-0.002,0.002,0.047,-0.001,0.038,0.191,0.153,0.019,-0.002,-0.02,-0.392,-0.047,0.016,-0.1,0.152,0.0,-0.055,0.031,0.159,0.002,-0.021,-0.132,0.197,0.001,-0.002,0.002,0.022,-0.041,-0.0,-0.001,-0.053,-0.1,0.009,0.001,-0.155,-0.174,0.027
-0.001,0.001,0.029,0.0,0.001,0.0,-0.001,-0.0,0.001,0.001,0.137,-0.236,0.193,0.046,-0.044,-0.186,-0.03,0.02,-0.184,0.156,0.169,0.008,0.093,-0.069,0.181,0.007,-0.062,0.114,0.229,0.048,-0.016,0.037,0.111,0.134,0.003,-0.003,0.044,0.121,0.004,0.0,-0.02,0.082,-0.027,-0.234,0.183,0.045,0.006,0.009,0.362,-0.101,0.034,0.265,0.223,0.009,-0.018,-0.062,0.229,0.007,0.011,0.09,0.249,0.047,0.002,0.002,-0.037,0.039,0.005,0.0,-0.142,-0.022,-0.005,0.002,-0.262,-0.113,-0.01
